Order_ID,Customer_ID,Restaurant_ID,Partner_ID,Promo_ID,Order_Date,Order_Status,Payment_Method,Order_Amount,Delivery_Time_Min,Delivery_Rating
50001,10079,20189,30133,40001,2025-03-25,Cancelled,Card,990.35,35,3
50002,10766,20006,30005,40001,2024-12-28,Pending,Card,739.61,63,1
50003,10271,20143,30091,40002,2025-08-01,delivered,Cash,2693.23,55,3
50004,10708,20091,30108,40001,2025-12-31,Cancelled,Wallet,444.2,23,3
50005,10373,20200,30121,40004,2024-03-25,Cancelled,Cash,448.64,50,4
50006,10871,20028,30136,40005,2024-09-14,Cancelled,Wallet,2883.69,36,3
50007,10961,20050,30072,40005,2025-03-23,Delivered,Wallet,895.98,30,4
50008,10114,20055,30150,40005,2025-01-23,Delivered,UPI,532.2,11,1
50009,10209,20147,30137,40001,2024-11-27,Delivered,Cash,1548.23,89,5
50010,10788,20164,30053,40001,2024-09-06,Refunded,Card,2846.77,55,4
50011,10606,20033,30052,40004,2025-04-12,Delivered,Wallet,2832.24,18,5
50012,10883,20121,30044,40004,2025-10-29,Delivered,Card,2351.39,70,4
50013,10931,20128,30098,40001,2025-12-17,Delivered,Card,1986.16,39,1
50014,10650,20190,30010,40002,2024-04-06,Cancelled,Card,1328.3,10,1
50015,10247,20057,30012,40005,2025-10-15,Refunded,Wallet,1556.93,43,1
50016,10491,20194,30027,40001,2024-07-10,Delivered,Card,592.51,77,2
50017,10109,20131,30098,40001,2024-03-14,Pending,UPI,2016.97,81,1
50018,10628,20153,30138,40001,2025-12-23,delivered,UPI,1667.62,79,5
50019,10687,20002,30144,40002,2024-01-25,Refunded,Card,1016.17,74,4
50020,10688,20110,30029,40005,2024-03-29,Cancelled,Cash,762.98,22,1
50021,10092,20095,30071,40003,2024-11-12,Delivered,Cash,2368.93,28,4
50022,10788,20050,30002,40001,2024-03-17,Pending,UPI,1987.8,24,5
50023,10467,20105,30148,40002,2024-03-22,Refunded,UPI,778.76,17,1
50024,10871,20111,30015,40002,2025-09-25,Cancelled,Cash,2183.98,66,3
50025,10807,20077,30090,40001,2024-11-28,Pending,Wallet,2296.0,22,2
50026,10781,20160,30084,40003,2024-09-12,Refunded,UPI,1484.07,62,5
50027,10558,20092,30085,40001,2024-09-01,Cancelled,Cash,184.45,20,5
50028,10846,20081,30109,40003,2025-01-10,Delivered,UPI,616.82,78,1
50029,10217,20136,30014,40005,2024-09-07,Cancelled,Wallet,3094.18,76,1
50030,10295,20194,30004,40003,2025-03-17,Cancelled,UPI,2115.21,32,5
50031,10708,20191,30073,40004,2024-09-11,Cancelled,Cash,1469.02,42,1
50032,10657,20067,30037,40001,2025-09-04,Cancelled,UPI,402.63,60,3
50033,10549,20004,30019,40003,2024-03-17,Delivered,Card,360.06,81,1
50034,10705,20071,30116,40002,2024-04-12,delivered,Cash,2345.13,48,4
50035,10456,20187,30025,40004,2024-12-16,Cancelled,Cash,1379.54,36,1
50036,10110,20054,30090,40003,2024-10-11,Cancelled,UPI,1314.99,34,1
50037,10802,20169,30080,40003,2024-07-03,Cancelled,UPI,2907.05,28,4
50038,10393,20066,30023,40005,2025-08-20,Delivered,Card,419.08,17,1
50039,10874,20034,30091,40003,2025-07-09,Pending,Card,1031.33,27,3
50040,10380,20094,30043,40005,2025-11-10,Pending,UPI,2546.98,41,2
50041,10955,20196,30008,40002,2025-10-26,Refunded,Card,998.66,38,4
50042,10657,20121,30068,40001,2024-02-21,Cancelled,UPI,2747.66,58,3
50043,10484,20113,30125,40001,2024-04-22,Delivered,Wallet,843.22,81,4
50044,10497,20123,30045,40002,2025-03-12,Delivered,Wallet,408.7,17,1
50045,10370,20114,30121,40002,2024-12-12,Pending,UPI,707.63,19,5
50046,10577,20157,30097,40001,2024-03-02,Cancelled,Wallet,805.01,77,1
50047,10523,20081,30055,40001,2024-03-26,Cancelled,Wallet,858.39,43,4
50048,10804,20188,30034,40001,2025-04-08,Refunded,Cash,2966.21,22,2
50049,10070,20031,30122,40004,2024-09-20,Pending,Card,984.34,75,1
50050,10925,20007,30121,40001,2025-07-04,delivered,Card,2052.85,73,5
50051,10149,20100,30083,40001,2025-01-11,Pending,Card,549.04,39,1
50052,10461,20056,30010,40003,2025-03-25,Delivered,Card,1961.71,34,3
50053,10205,20017,30103,40001,2025-11-26,delivered,Card,2426.7,11,3
50054,10068,20123,30096,40005,2025-05-18,Cancelled,Card,3041.06,89,2
50055,10207,20080,30117,40003,2024-08-19,Refunded,Cash,712.6,14,4
50056,10685,20182,30006,40005,2025-01-17,Refunded,Card,666.73,40,1
50057,10622,20117,30122,40005,2025-07-15,Pending,Wallet,596.82,27,3
50058,10281,20107,30039,40002,2025-06-18,Delivered,Card,860.55,84,3
50059,10172,20060,30109,40002,2024-03-23,Delivered,Wallet,2850.5,62,3
50060,10881,20039,30069,40004,2024-04-07,Cancelled,UPI,2856.19,65,1
50061,10073,20074,30045,40002,2025-03-06,Pending,UPI,3099.81,77,4
50062,10598,20030,30115,40002,2025-05-26,delivered,Cash,2734.35,76,5
50063,10607,20065,30147,40004,2024-07-04,Delivered,Cash,713.47,40,4
50064,10264,20174,30019,40001,2025-10-01,delivered,Wallet,1248.11,37,3
50065,10456,20122,30088,40002,2025-04-21,Delivered,Cash,2582.76,39,4
50066,10556,20105,30103,40002,2024-08-26,Cancelled,Cash,393.97,56,4
50067,10131,20057,30056,40003,2024-04-25,Pending,UPI,2163.08,75,2
50068,10431,20166,30020,40004,2025-08-19,delivered,Wallet,2844.45,52,5
50069,10722,20195,30112,40003,2024-06-28,Pending,Wallet,1792.21,12,2
50070,10986,20162,30075,40005,2025-10-19,Delivered,Card,1333.61,41,5
50071,10379,20197,30078,40003,2024-06-16,Cancelled,UPI,3096.27,86,4
50072,10047,20051,30004,40005,2025-07-01,delivered,Wallet,2736.93,81,3
50073,10858,20045,30022,40002,2024-01-05,Delivered,Card,209.5,39,2
50074,10020,20007,30030,40001,2024-03-31,Cancelled,Card,936.61,29,4
50075,10358,20082,30075,40004,2025-05-05,delivered,Cash,1152.9,52,1
50076,10167,20068,30024,40001,2025-10-01,Pending,UPI,2975.84,43,2
50077,10350,20129,30126,40002,2024-07-11,Pending,UPI,2558.56,29,4
50078,10235,20080,30019,40004,2024-04-06,Delivered,UPI,1306.52,85,2
50079,10824,20120,30060,40005,2024-04-05,Refunded,Wallet,709.19,82,4
50080,10956,20150,30056,40001,2025-10-11,Cancelled,Wallet,545.68,40,3
50081,10546,20085,30015,40001,2024-08-22,delivered,UPI,1664.01,38,5
